row_id,question,source,writer,answer
102,"Q. I have severe hair loss after hair straightening. What should I do?Hello doctor,I had got my hair straightened twice this year. Now, I face severe hair loss. Even my scalp is visible on one side. What should I do now?",medicine,human,Hello. Continue these for a month and then you can consult me again. Good luck. For more information consult a dermatologist online --> https://icliniq.com./ask-a-doctor-online/dermatologist
291,Buying real estate with cash,finance,human,"i think and what i understand when a house seller is asking for cash, thats means he is looking for a ready and quick buyer doesn't rely on mortgage and its long process. cash means a certified check for sure, but not physical money in suitcase!"
679,"Is there a benefit, long term, to life insurance for a youngish, debt, and dependent free person?",finance,human,"Term life insurance for a healthy 30 year old is a heck of a lot cheaper than for a 40 year old who's starting to break down (and who needs the coverage since he's got a spouse and kids). So, get a long term policy now while it's cheap."
612,Is it inadvisable to leave a Roth IRA to charity upon death?,finance,chatgpt,"Leaving a Roth IRA to charity upon death can be a charitable and tax-efficient way to dispose of the assets in the account. However, there are a few considerations to keep in mind when deciding whether to leave a Roth IRA to charity.One factor to consider is the potential tax implications for the beneficiary of the Roth IRA. If the beneficiary is a charity, the assets in the Roth IRA will be distributed tax-free, as charitable organizations are tax-exempt. However, if the beneficiary is an individual, they will generally be required to pay taxes on the distribution from the Roth IRA, as it is considered taxable income. This may not be desirable if the goal is to maximize the benefit to the beneficiary.Another consideration is the potential impact on the charitable organization's ability to use the assets in the Roth IRA. If the assets are distributed to the charity in a lump sum, the organization may not have the resources to effectively manage the funds. This could lead to the funds being invested in low-yield or even risky investments, which could result in a lower return on investment for the charity.Overall, whether or not it is advisable to leave a Roth IRA to charity upon death depends on the individual's goals and circumstances. It is a good idea to discuss the decision with a financial advisor or tax professional to determine the best course of action."
786,Gigantic point amount on rewards card - what are potential consequences?,finance,gemini,"Here is some information that may help with your question. It is not uncommon for rewards cards to have high point balances, as they are designed to allow users to earn points for making purchases and then redeem those points for rewards such as cash back, merchandise, or travel. In general, there are no negative consequences to having a high point balance on a rewards card, as long as you are using the card responsibly and paying your bill on time. Please remember that this is for informational purposes and not professional financial advice."
930,What are the side effects of depo shots?I just got off the depo shot and im having a brownish discharge. I had one the beginning of last month befo my period and my period lasted 2wks and now ive been discharging for a wk now my shot was due last week but im nit gettin back on it bt that was my first shot. Whats goin on ?,medicine,human,"Hi, Depo-Provera contraceptive injection is a long-acting birth control method.Some of the common side effects of Depo include acne, dizziness, drowsiness, fever, headache, hot flashes, nausea, nervousness, pain, redness, or swelling at the injection site, sleeplessness, or weakness. Hope I have answered your query. Let me know if I can assist you further. Regards,Dr. Ajeet Singh, General & Family Physician"
306,Should I finance a car to build credit for a mortgage next year?,finance,chatgpt,"Financing a car can be a good way to build credit, as long as you make your payments on time and in full each month. A car loan is a type of installment loan, and by making regular payments on an installment loan, you can demonstrate to potential lenders that you are responsible with credit and can handle making regular payments. This can help to improve your credit score and make it easier to qualify for a mortgage in the future.However, it's important to carefully consider whether you can afford the monthly payments on a car loan before you take on this type of debt. You should also be aware that financing a car can be expensive, as you will likely pay more for the car in the long run due to interest charges.If you are considering financing a car to build credit, it's a good idea to shop around for the best rates and terms. You may also want to consider working with a credit counselor or financial advisor to help you make an informed decision."
693,Where to find LEAPS option quotes (full chain)? CBOE & Yahoo! Finance not working,finance,human,"I'm familiar with and have traded U.S.-listed LEAPS and I've always used the CBOE quotes page you linked to.  So, I too was surprised I couldn't find 3M (MMM) LEAPS quotes at that page, even after checking the ""List all options, LEAPS, Credit Options & Weeklys if avail."" radio button.  Used to work! Fortunately, I was able to get access to the full chain of option quotes from the CBOE's other quotes page:  Go to the ""Quotes & Data"" menu, then select Delayed Quotes - NEW!  Here's how: I think the new interface is terrible: it's too many steps to get to the information desired.  I preferred the all-in-one table of the Delayed Quotes Classic page, the one you linked to. As to why that classic page isn't yielding the full chain, I can only suggest it is a recently introduced bug (software defect).  I certainly was able to get LEAPS quotes from that page before. On Yahoo! Finance option quotes: I don't know why their chain is incomplete – I can't see the logic, for instance, as to why MMM Jan 2012 60 calls are missing.  I thought at first it may be lack of volume or open interest, but nope.  Anyway, I don't trust Yahoo! to provide accurate, reliable quotes anyway, having seen too many errors and missing data in particular in the feed of Canadian stocks, which I also trade. I rely on the exchange's quotes, and my broker's real-time quotes.  I check Yahoo! only for convenience sake, and when it actually matters I go to the other more reliable sources. For what it's worth, though, you can also get full chain option quotes at NASDAQ.  See here for the 3M (MMM) example then click on the ""Jan 12"" link near the top.  However, I would consider CBOE's quotes more definitive, since they are the options exchange."
951,Why does quantitative easing negatively affect stocks?,finance,chatgpt,"Quantitative easing, also known as ""QE,"" is a monetary policy used by central banks to stimulate economic growth by increasing the money supply and lowering interest rates. It is typically used when traditional monetary policy tools, such as lowering the benchmark interest rate, are no longer effective in boosting economic activity.There are a few ways in which quantitative easing can negatively affect stocks:Inflation concerns: One concern about quantitative easing is that it can lead to higher inflation, as it increases the money supply and lowers the cost of borrowing. This can erode the purchasing power of money, which can be negative for stocks.Market distortion: Another concern is that quantitative easing can distort the market by artificially manipulating the price of assets, such as stocks. This can create a bubble in the market, which can eventually lead to a crash.Uncertainty: Finally, there can be uncertainty surrounding quantitative easing, as it is a relatively new and unconventional policy tool. This uncertainty can create volatility in the market and affect investor confidence, which can negatively impact stocks.It's important to note that the effects of quantitative easing can vary depending on the specific circumstances of each case and are not necessarily always negative."
520,"Pain in lower back. Problem with kidneys?Hi, I have been having sharp pains in my left side, lower back. To be honest it feels like someone is taking a small sharp object like a needle and poking me every few minutes. Its tolerable, I m not to the point where I need to cry over it, I just would like to know why its doing this and if I should be worried? Is it my kidneys? Could something be wrong with them?",medicine,gemini,"Here is some information that may help with your question. It is possible that the pain you are experiencing could be related to your kidneys, as the kidneys are located in the lower back area. However, there are many other potential causes of lower back pain, and it is important to get a proper diagnosis from a healthcare professional in order to determine the cause and appropriate treatment. Kidney pain is usually felt as a dull ache on one side of the lower back, and it can range from mild to severe. Please remember that this is for informational purposes and not professional medical advice."
620,Can expenses for attending stockholders meetings be deducted in U.S. income taxes?,finance,gemini,"Here is some information that may help with your question. Generally, expenses related to attending stockholders meetings can be deducted as a business expense if they are ordinary and necessary expenses incurred in the course of conducting business. In order to be deductible, the expenses must be reasonable in amount and directly related to the business.To claim a deduction for business expenses, you must itemize deductions on your tax return using Schedule A (Form 1040 or Form 1040-SR). Please remember that this is for informational purposes and not professional financial advice."
495,Suggest treatment for sperm discharge during urinationhello doctor  i hav two holes in my penis and i use both the holes for urination..... bt i feel that during the time of urination sperm gets ejaculated from holes.................... and on the other hand when i get exited then few drops of sperms comes out from these hole/holes...............kindly give me the treatment of this dieses coz i m suffring from till 2007..,medicine,human,"Hi, Normally there should be only one hole. Two is abnormal - share a picture for confirmation. Doing a urine complete can help diagnose the presence of sperm in urine. Also, check for blood sugar and urine culture. Hope I have answered your query. Let me know if I can assist you further. Regards,Dr. S. R. Raveendran, Sexologist"
218,Does payment in goods count as “income” for tax purposes?,finance,chatgpt,"In general, payment in goods is considered to be taxable income for tax purposes. The value of the goods received is usually treated as taxable income and must be included in your gross income on your tax return. This is true whether you receive the goods in exchange for services you have performed or as payment for goods or services you have sold.For example, if you are a self-employed person and you receive payment for your services in the form of goods rather than cash, the value of the goods is considered to be income and must be reported as such on your tax return. The same is true if you are a business owner and you receive payment for goods or services you have sold in the form of goods rather than cash.There may be some exceptions to this general rule, such as when the goods received are considered to be a gift or when the value of the goods is nominal and not significant. In these cases, the value of the goods may not need to be included in your taxable income.It is important to note that the specific tax treatment of payment in goods can vary depending on the specific circumstances and the laws of the jurisdiction in which you are located. If you have questions about how payment in goods is treated for tax purposes, you should consult a tax professional or refer to the tax laws and regulations in your area."
299,"How to overcome the constant metallic taste in my mouth behind bottom teeth?I have a constant metallic taste in my mouth. Behind my bottom teeth below where the gums attach to the teeth. It has a sweet,  metallic taste like battery acid. I was never a religious teeth cleaner until the last two weeks ,when i brush I do go slightly over the top. the taste has come on the last 7 days.  I have no other symptoms. Been overweight for years but still in decent health.",medicine,human,"Hi,Thanks for posting the query,Go for complete mouth scaling and polishing.Use interdental cleaners,floss and antiseptic mouthwash rinses.Maintain a good oral hygiene.Take care!"
415,Could ignoring sunk costs be used to make an investment look more attractive when it's really not?,finance,gemini,"Here is some information that may help with your question. Ignoring sunk costs can potentially be used to make an investment appear more attractive, but it is generally not a good idea to do so. Sunk costs are costs that have already been incurred and cannot be recovered. Ignoring sunk costs means that you are not taking into account the money that has already been spent on an investment when making a decision about whether or not to continue investing in it.While ignoring sunk costs may make an investment seem more attractive in the short term, it can lead to poor decision-making in the long term. Please remember that this is for informational purposes and not professional financial advice."
851,"Renting out rooms in my home, what's the proper way to deal with utilities for tax purposes?",finance,gemini,"Here is some information that may help with your question. If you are renting out rooms in your home and charging your tenants for the cost of utilities (such as electricity, gas, water, and internet), you will need to report the income you receive from your tenants on your tax return. The income you receive from renting out the rooms in your home is considered rental income and is subject to income tax.You will also need to report any expenses you incur in connection with the rental of your rooms, such as the cost of utilities. Please remember that this is for informational purposes and not professional financial advice."
629,"What does a lump right on hip flexor indicate?Hello I have a lump right on my hip flexor and I was wondering if it is cancerous there is no pain, I noticed it about a week ago and I am in competitive soccer so I don t really know what it is, I have like been keeping my eye on it and it s has not grown at all but it has like gotten smaller!?",medicine,gemini,"Here is some information that may help with your question. It is not possible for me to diagnose the cause of a lump without physically examining it and obtaining more information. Lumps can have a variety of causes, including cancer, but they can also be benign (non-cancerous). It is important to have any new lump checked out by a medical professional. It is not uncommon for lumps to change in size over time, and it is possible for a lump to get smaller on its own. Please remember that this is for informational purposes and not professional medical advice."
479,"Is eating ice all the time harmful to health?IN THE LAST YEAR, I HAVE STARTED EATING ICE. IT SEEMS ITS  BECOMING AN ADDICTION;BUT IT HELPSWHEN I HAVE HOT FLASHES,IT SEEM TO HELP WITH NERVOUS ENERGY/ANXIETY,AND IT FULLFILLS MY DESIRE TO BE EATING ALL THE TIME.I KNOW ITS NOT GOOD FRO MY TEETH,BUT IS IT HARMFUL TO MY HEALTH?",medicine,human,"HiThanks for using healthcare magicI think, you have impulse disorder and in that case, you need help of a psychiatrist to control it. You need low dose antidepressant and benzodiazepine that would help to control these symptoms. These drugs are not available over the counter and you need prescription for them. Better to take help of a psychiatrist for proper diagnosis and management. In case, you need further help, you can ask.Thanka"
139,Why I can't view my debit card pre-authorized amounts?,finance,gemini,"Here is some information that may help with your question. There are a few reasons why you might not be able to view the pre-authorized amounts on your debit card. Here are a few possible explanations:Your bank or financial institution might not provide this information online or through their mobile app. In this case, you may need to contact your bank or credit card company directly to find out more about pre-authorized amounts.You may not have any pre-authorized amounts on your debit card at the moment. Please remember that this is for informational purposes and not professional financial advice."
527,What will happen to my restricted units?,finance,human,"This should all be covered in your stock grant documentation, or the employee stock program of which your grant is a part.   Find those docs and it should specify how or when you can sale your shares, and how the money is paid to you.  Generally, vested shares are yours until you take action.  If instead you have options, then be aware these need to be exercised before they become shares.  There is generally a limited time period on how long you can wait to exercise.  In the US, 10 years is common. Unvested shares will almost certainly expire upon your departure of the company.  Whether your Merrill Lynch account will show this, or show them as never existing, I can't say.  But either way, there is nothing you can or should do."
540,Can the Securities Investor Protection Corporation (SIPC) itself go bankrupt?,finance,gemini,"Here is some information that may help with your question. The Securities Investor Protection Corporation (SIPC) is a non-profit, membership corporation funded by the securities industry and created by Congress to protect customers of broker-dealers that go bankrupt. SIPC does not itself engage in the business of buying and selling securities, and it is not a guarantor of the financial performance of any particular security or the solvency of any particular brokerage firm.SIPC's primary function is to provide financial protection to customers of failed brokerage firms by returning their cash and securities that are held in accounts at those firms. Please remember that this is for informational purposes and not professional financial advice."
759,"What could be the cause for pain in back after being diagnosed with bronchitis?I have been diagnosed with broncitus and on antibiotics for two days. the skin on my back is painful in the lower lung area i had my flu injection 4 days prior to getting sick. I have never felt this weird painful skin in a specific area before, do you have any ideas what could have caused it and what i can put on it to relive it.",medicine,gemini,"Here is some information that may help with your question. It's possible that the pain in your back is related to your bronchitis, although without more information it's difficult to say for sure. It's possible that the inflammation caused by the bronchitis is causing pain in the skin on your back. Alternatively, the pain could be due to a muscle strain or other unrelated issue. To help relieve the pain, you could try taking over-the-counter pain medication, such as acetaminophen (Tylenol) or ibuprofen (Advil). Please remember that this is for informational purposes and not professional medical advice."
936,Where do countries / national governments borrow money from? ,finance,chatgpt,"Countries can borrow money from a variety of sources, including international organizations such as the International Monetary Fund (IMF) or World Bank, or from private investors through the sale of bonds. Governments may also borrow from their own central banks or from other national governments. Some countries may also use a combination of these sources to meet their borrowing needs.When a country borrows money from international organizations such as the IMF or World Bank, it may be required to implement certain economic policies or reforms in exchange for the financial assistance. Borrowing from private investors, such as through the sale of bonds, typically involves the government agreeing to pay back the loan with interest over a set period of time. Borrowing from a central bank or another national government may involve similar terms and conditions.It's worth noting that borrowing money can have both short-term and long-term consequences for a country, including the potential for increased government debt and the need to pay back the loan with interest. Governments must carefully consider the potential risks and benefits of borrowing before deciding to do so."
682,How much does it cost to build a subdivision of houses on a large plot of land?,finance,human,"You can hire a builder to build for you on a lot that you would be happy to live on with utilities already connected. Subdividing a large piece of land gets a little more complicated. What easements exist, and what new easements would need to be created when connecting utilities? Would all of the lots already have street access, or do you need to dedicate some of the land to building a new road in the subdivision? Also, I edited your post because 83,000sqft is 1.9 acres. Building homes on .19 acre parcels (assuming no need for a road to take another 15% of the lot) reduces the value of the homes that you are building. You should run the numbers with 6 houses and see how attractive the math looks. Also, you should look for updated numbers on cost to build. Custom homes are likely closer to $275-$350 (where an architect is involved with drawing the plans)."
215,"What could cause productive cough with little red streaks and dizziness?I am a healthy 39 yearold female. A productive cough started four days ago. No fever or any other symptoms but, I am a little dizzy ... The coughing happens in little fits ... Mostly clear a little but of red-streaks sometimes Otherwise, I feel great .... When should the coughing go away?",medicine,chatgpt,"It's difficult to diagnose a condition without a thorough evaluation by a healthcare provider, but there are a few possible causes of a productive cough with little red streaks and dizziness that come to mind. These include:

Bronchitis: This is an inflammation of the bronchial tubes, which can cause coughing, shortness of breath, and chest discomfort. The cough may be productive and sometimes accompanied by blood-tinged mucus.

Pneumonia: This is an infection of the lungs that can cause symptoms such as fever, chills, chest pain, and coughing that produces phlegm.

Sinusitis: This is an inflammation of the sinuses that can cause symptoms such as headache, fever, nasal congestion, and a cough that may produce phlegm.

Allergic reaction: If you have allergies, you may experience a productive cough and dizziness as symptoms of an allergic reaction.

It's important to see a healthcare provider to determine the cause of your symptoms and get the appropriate treatment. The length of time that your cough will last will depend on the underlying cause and the effectiveness of any treatment you receive."
203,Is it ok to use a check without a pre-printed check number?,finance,gemini,"Here is some information that may help with your question. Yes, it is generally acceptable to use a check without a pre-printed check number as long as you properly fill out the rest of the check and include all of the necessary information. This includes the date, payee, and the amount of the check, as well as the signature of the person issuing the check.When you write a check without a pre-printed check number, you can simply leave the space for the check number blank or write ""VOID"" in the space provided. Please remember that this is for informational purposes and not professional financial advice."
621,"Could the chin numbness be associated with diarrhea?My mom has been experiencing chin numbness off and on for a few weeks now. She also thought she had an intestinal bug. However, she still has diarrhea and it's been almost 2 weeks. Could the numbness in her chin be associated in any way with her belly issues. She is 76 and diabetic.",medicine,chatgpt,"It is possible that the numbness in your mother's chin could be related to her diarrhea and intestinal issues. Numbness or tingling in the face or chin can sometimes be caused by digestive issues, as the nerves that supply feeling to the face and chin pass through the abdomen. It is also possible that the numbness in your mother's chin could be caused by other factors, such as a deficiency in certain vitamins or minerals, or a neurological condition.

It is important for your mother to see a healthcare provider to determine the cause of the numbness and to address the underlying issue. The provider will likely ask about your mother's medical history and perform a physical examination, and may order tests such as blood work or imaging studies to help make a diagnosis. Treatment will depend on the underlying cause of the numbness and may include medications, dietary changes, or other therapies."
134,"Is stopping alcohol consumption the only way to lower enzyme level which is 50?Doc. I have known that I have hcv(hep C) FOR AT LEASE 10YEARS AND i HAVE CONTINUE TO DRINK OFF AND ON SINCE THEN nOW i AM AFFRAID. mY Doctor told me my enz leve is 50 whichis very high. would stop drinking make my lever go down I know it is the best thing to do  but I can,t help but wonder if it would help me at this point",medicine,human,HiStopping alcohol has a dramatic effect in decreasing the raised liver enzymes.So you can do it.If you have a problem in stopping alcohol you can consult a councelling centre and get one.that will help youthanks
330,What is the permanent cure for back pain?im looking to get some help here? I have back problems and was given methadone for my pain. my dr left the practice and then got sick. my new dr signed me up for pain management and they put me on suboxone. hated the taste and did not do anything for my pain. right know I feel very sick (withdrawel). don't know what to do. please can someone help me don't know where to turn.,medicine,chatgpt,"I'm sorry to hear that you are experiencing back pain and are having difficulty finding relief. It is important to work with a healthcare professional to determine the best treatment plan for your specific needs.

There is no one-size-fits-all permanent cure for back pain, as the cause of the pain and the most effective treatment can vary widely from person to person. Treatment for back pain may include a combination of medications, physical therapy, and lifestyle changes, such as exercise and stress management.

If you are experiencing withdrawal symptoms from the medication you were prescribed, it is important to speak with a healthcare professional as soon as possible. Withdrawal from certain medications, including methadone and suboxone, can be dangerous and should be managed by a trained healthcare professional.

I recommend that you speak with your healthcare provider about your concerns and any symptoms you are experiencing. They will be able to help you determine the best course of action and provide you with the necessary support and treatment. It is also a good idea to seek out additional support from friends, family, or a support group as you navigate this difficult time."
922,New or Used Car Advice for Recent College Grad,finance,gemini,"Here is some information that may help with your question. Congratulations on your graduation! Buying a car is a big decision, and there are pros and cons to both new and used cars. Here are a few things to consider as you make your decision:New cars:New cars typically come with a manufacturer's warranty, which can provide peace of mind and cover the cost of repairs if something goes wrong.New cars tend to have the latest features and technologies, such as advanced safety systems, infotainment systems, and fuel-efficient engines.New cars tend to have lower operating costs in the long run, as they are less likely to break down and require expensive repairs.On the downside, new cars tend to be more expensive than used cars, and their value depreciates quickly as soon as you drive them off the lot.Used cars:Used cars tend to be less expensive than new cars, and you may be able to get a higher-quality or more feature-packed car for your money.Used cars often come with a lower monthly payment and insurance premium than new cars.Used cars may have already depreciated in value, so you may not lose as much money when you sell it or trade it in.On the downside, used cars may not come with a manufacturer's warranty and may require more maintenance and repairs. Please remember that this is for informational purposes and not professional financial advice."
772,Record retention requirements for individuals in the U.S.?,finance,gemini,"Here is some information that may help with your question. There are no specific record retention requirements for individuals in the United States. However, it is generally a good idea to keep important documents and records for a certain period of time, both for personal and legal reasons.Here are some general guidelines for keeping records:Keep important personal documents, such as birth certificates, marriage licenses, and passports, indefinitely.Keep financial records, including tax returns and bank statements, for at least seven years. Please remember that this is for informational purposes and not professional financial advice."
896,"What is the prognosis while suffering from leaky valves?My mother is 80 and this past sept had 3 vessel disease heart surgery. She didn t do well and didn t come home until dec. Now they say she has 2 leaky valves (one is the main valve) and they don t think its wise to do surgery. They can hear the leaky valves with their stephoscope. How long can she live with leaky valves? Months, years?",medicine,chatgpt,"The prognosis for a person with leaky valves depends on a number of factors, including the severity of the leak, the specific valves involved, and the overall health of the person. It is not possible for me to provide a specific prognosis for your mother without knowing more about her individual case.

In general, however, leaky valves can potentially be managed with medications, lifestyle changes, and regular monitoring by a healthcare provider. In some cases, surgery may be recommended to repair or replace the damaged valve. The decision about whether to pursue surgery will depend on the specific circumstances and will be made by your mother's healthcare team in consultation with her.

It is important to remember that every person is different and that the prognosis can vary widely. It is best to discuss your mother's specific situation with her healthcare provider, who can provide more information and guidance."
331,Can I father a child if I masturbate regularly?I am masturbating from 3 years thrice a week and my penis size is 2 inch normal and 6 inches when erect and my age is 16 years. so my question is could i able to become father in future? Will masturbation in future could affect my relationship life.,medicine,human,"HelloThanks for writing to HCMYou have absolutely normal findings.There shouldn't be any problem in becoming a father.Masturbation is normally practiced by many persons but its obsession is bad.You should concentrate in your activities.You should avoid provocative literature and videos and try to keep busy yourself in your job.You can also try yoga and meditation,this will help a lot.Hope i have answered your query.Take CareDr.Indu Bhushan"
950,Do high interest rates lead to higher bond yields or lower?,finance,chatgpt,"In general, high interest rates lead to higher bond yields. When the interest rate on new bonds is higher than the interest rate on existing bonds, investors are more likely to sell their existing bonds and buy the new ones, which pushes down the price of the existing bonds and increases their yield. This is because investors want to receive a higher return on their investment, and the yield on a bond is directly related to its price. When the price of a bond decreases, its yield increases, and vice versa.It's important to note that the relationship between interest rates and bond yields is not always straightforward, as other factors can also influence bond prices and yields. For example, changes in the supply and demand for bonds, as well as economic and political developments, can all affect bond yields."
834,Does Invega Sustenna cause vocal tics as a side-effect?My brother is taking invega sustenna and he has developed a vocal tic. I am wondering if switching his medication will help This began after his exposure to antipsychotics. He first began taking risperdal consta in Jan. 2016 and developed this tic in October 2016. In December 2016 we switched to invega sustenna and I think it made it worse.,medicine,chatgpt,"Invega Sustenna is an atypical antipsychotic medication that is used to treat schizophrenia and schizoaffective disorder. It is possible that Invega Sustenna may cause vocal tics as a side effect, although this is not a common side effect. According to the prescribing information for Invega Sustenna, tardive dyskinesia (a condition characterized by involuntary, repetitive movements) has been reported in some patients who have taken atypical antipsychotics, including Invega Sustenna. However, it is not clear whether Invega Sustenna specifically causes vocal tics.

It is important to speak with a healthcare professional about any concerns or side effects that you are experiencing while taking Invega Sustenna. They will be able to provide more information about the potential side effects of the medication and advise on the best course of treatment for your brother's condition. It is also important to note that it is not always possible to determine whether a particular medication is causing a specific side effect, and that other factors may be at play."
