question,human_answers,chatgpt_answers,index,source
"Is the dental implant related to the pain in right temple and right teeth?I have frequent pressure pain on the right temple, behind the right eye, right teeth, occasionally ear. I also have continued loud buzzling in the ear. Is there anything to do with my recent dental implants. My last week Ct scan found an old minor stroke.","['Hello, Thanks for your query.Even though these three common side effects will diminish over the days and weeksThe most common side effects that people experience after dental implants surgery include:Soreness/discomfort - Many patients will notice some degree of discomfort after surgery is completed. This is natural and occurs following any kind of surgery.Swelling - Swelling is another common surgical side effect. As with soreness, it will dissipate with time.Bruising - Bruising can occur around the gum area simply as a consequence of the surgical procedure. This too will abate with time.I do hope that you have found something helpful and I will be glad to answer any further query.Take care']","['It is possible that your dental implants could be causing or contributing to the pain and other symptoms you are experiencing in your right temple and teeth. However, it is also possible that these symptoms could be related to other underlying health conditions, such as the old minor stroke that was identified on your CT scan. It is important to discuss your symptoms with a healthcare provider, who will be able to determine the cause and recommend appropriate treatment. They may also recommend that you see a dentist or oral surgeon for further evaluation and treatment of your dental implants. It is important to follow the recommendations of your healthcare provider in order to address your symptoms and ensure the best possible outcome.']",,medicine
"Feel weak and shaky, after drinking caffeine. Is it a caffeine allergy?I hear of caffine alergies but that s not my case. I heard of feeling week or shaky a few hours after drinking caffine but still not my case. My muscles don t all feel like the same. But rather soft. And yes. i feel shaky. but this is after only 10-20 min. After drinking something with caffine in it. Why does this happen?",['you are allergic to caffeineanybody can be allergic to anythingit can start immediately after exposure or within few hoursall are signs of allergybetter withdraw these products from'],"[""It's possible that you are experiencing caffeine intoxication, which can occur when you consume too much caffeine or are sensitive to caffeine. Symptoms of caffeine intoxication can include tremors, rapid heartbeat, muscle twitching, and weakness. It can also cause digestive problems, such as nausea and vomiting.\n\nCaffeine is a stimulant that can affect your central nervous system and increase your heart rate and blood pressure. If you consume too much caffeine, it can lead to caffeine intoxication, which can cause the symptoms you are experiencing.\n\nIt's important to be aware of your caffeine intake and how your body reacts to it. If you are sensitive to caffeine or have a history of anxiety or other health conditions that could be exacerbated by caffeine, it may be best to limit your intake or avoid caffeine altogether. If you continue to experience symptoms after consuming caffeine, it may be a good idea to speak with a healthcare professional for further guidance.""]",,medicine
"I have diagnose 16mm endometrial, Is it any other treatment beside operation ?Dear Doctor, I have diagnose on the 11th Nov 16mm endometrial. my period started 20 october for 6 days or so. the doctor want to clean out the lining through operation, but I m concert will it be thick again after the operation, and what if the operation will cost infection ? Is it any other treatment beside operation ? looking forward to your asker. Many thanks, Sally","['Dr.Khaleel . India ,Mob - 9902596161 , khals2000@yahoo.co.in Phase                  Days            Thickness                 Epitheliummenstrual phase     1-4               thin                      absentproliferative phase   4-14              intermediate       columnarsecretory phase     15-28            thick                     columnar']","['There are several treatment options for an endometrial thickness of 16mm, including both medical and surgical treatments. It is important to discuss all of the available options with your doctor and consider your individual circumstances and preferences when making a decision about the best course of action.\n\nMedical treatments for an endometrial thickness of 16mm may include hormone therapy, such as oral contraceptives or progestin-only therapy, to help thin the endometrial lining and regulate menstrual cycles.\n\nSurgical treatments for an endometrial thickness of 16mm may include a procedure called dilation and curettage (D&C), in which the cervix is dilated and the endometrial lining is removed using a curette, or a hysterectomy, in which the uterus is removed.\n\nIt is possible that the endometrial lining may thicken again after treatment, and your doctor will recommend ongoing monitoring and follow-up to ensure that the thickness remains at a healthy level. If the endometrial lining does begin to thicken again, additional treatment may be necessary.\n\nAs with any medical procedure, there is a risk of infection with a surgical treatment for an endometrial thickness of 16mm. Your doctor will take steps to minimize this risk, such as using sterile techniques and prescribing antibiotics as needed.\n\nIt is important to carefully weigh the potential risks and benefits of any treatment option before making a decision. Be sure to discuss all of your concerns and questions with your doctor and ask for more information if you need it.']",,medicine
"Will Ofloxacin, INH or Ethambutol have any adverse affects on the fetus?My wife is undergoing lymphnode TB treatment since Aug 2009 & is now 6 month pregnant , she is having Oxfloxacin 400 mg , INH 300 mg , Ethambuntal 800 mg each 1 tablet per day . Is this drugs going to have any side effects on the foetus. Please let me know","['HI,   I understand your concern.    Both  High doses of Ofloxacillin , INH & Ethambutal are placed in catagory c for their use in pregnancy. Though there are no sufficient evidences about their teratogenicirty, they are to be used with precautions in pregnancy when the benefits over weigh the side effects & they are essential for control of Tuberculosis in pregnant woman.    The doses offered to you are in normal range.. & I feel you shoulf believe your treating doctor & continue taking it as per the advise, while regular pregnancy check ups are done.     Thanks.']","['It is generally recommended that pregnant women avoid taking medications unless they are absolutely necessary, as some medications can have harmful effects on the developing fetus. However, in some cases, the benefits of taking a particular medication may outweigh the potential risks.\n\nOfloxacin is an antibiotic that is generally considered safe to use during pregnancy. However, it is important to note that it is not approved for use in pregnant women by the U.S. Food and Drug Administration (FDA). There have been some studies that suggest that the use of ofloxacin in pregnant women may be associated with an increased risk of birth defects, but more research is needed to confirm this.\n\nIsoniazid (INH) is also an antibiotic that is used to treat tuberculosis (TB). It is generally considered safe to use during pregnancy, although it is not approved for use in pregnant women by the FDA. There have been some reports of birth defects in infants exposed to INH during pregnancy, but it is not clear whether the defects were caused by the medication or other factors.\n\nEthambutol is another medication that is used to treat TB. It is not recommended for use during pregnancy due to the risk of birth defects. There have been reports of birth defects in infants exposed to ethambutol during pregnancy, including abnormalities of the eyes, ears, and brain.\n\nIt is important to discuss the risks and benefits of taking any medication with your healthcare provider. If you are pregnant and taking any of these medications, you should talk to your healthcare provider about the potential risks and whether or not you should continue taking the medication. They will be able to provide you with more specific advice based on your individual situation.']",,medicine
How can spiral fracture of the ring finger be treated?I have a spiral type fracture on my ring finger metacarpul in my hand a doctor put in a cast for 5 weeks after five weeks the cast was removed and the xrays show small healing and also showed the fracture is still there. what do you think I need to do,"['Hello,Thank you for your question.Sometimes healing in Xray shows later than it is acctualy.the doctor should check for clinical healing. I mean the doctor should move the finger and try tonsee if there is crepitation or click sound in the fracture site that shows not healing.If you do not have neither pain nor crepitations that means that the fracture is healed.If not healed then you need surgery to fix it.Best regards, Dr. Selmani']","[""Treatment for a spiral fracture of the ring finger usually involves immobilization with a splint or cast to allow the bone to heal. This can help to reduce pain and protect the finger while it heals.\n\nIf a cast has been applied and the fracture is still present after 5 weeks, it is possible that the bone is not healing as quickly as expected. In this case, your doctor may recommend additional treatment options, such as a longer period of immobilization, physical therapy to improve range of motion and strength, or surgery to repair the fracture.\n\nIt is important to follow your doctor's recommendations and attend follow-up appointments as directed. If you have any concerns about your treatment or if you experience any new symptoms, such as increased pain or swelling, you should contact your doctor for further evaluation and guidance.""]",,medicine
"What causes severe pain in back and legs in supine position?Hi, The last two days my one year old had a very bad cold and needed me to hold him all the time while we were both lying down (I never lay down or rest this much).  I have had a slight pain in my lower back but much more pain in both legs, like they are being squeezed very hard ever since.  What can this be?",['Pain in back and pain in leg this could be related to each other or it could be separate issues also. You can check one thing lying position on your back legs straight. Now when you lift your leg up straight ( any one leg ) then how is your pain in leg and back. If you say pain is more in back and at the same time in leg also then it can be associated to each other and you have problem at limbosacral spinal level. Now if there is pain only at back and there is no pain in leg follow the another test. Long sitting position that is sitting only but keeping your leg straight ask some one to hold your calf muscle bulk and squeeze it or press it hard and check do you have pain in leg. If you say yes then it can be due to problem with blood circulation in legs.How ever the conformation can be done by only specialist like ortho or physio and you may need to under go for MRI of back as well dopler study for legs if needed.And based on result of physical examination and MRI ortho doctor for mild to moderate issue will suggest to take physiotherapy treatment and exercises along with medication. For major damage at spinal level he will suggest for needed surgical correction.Now if there is circulation problem in lower limb here doctor may ask you to visit a vascular  surgeon or some medications again for it.Doing exercises suggested by physio for back pain radiating to legs along with use of hot and cold pack at back also gives good relief.Take care.'],"[""There are several potential causes of severe pain in the back and legs in the supine position. Some possible causes may include:\n\nMuscle strain or sprain: Prolonged periods of lying down in the same position, especially if you are holding a heavy weight (such as a child), can put strain on your muscles and cause pain.\n\nPinched nerve: A pinched nerve, also known as nerve compression, can cause pain in the back and legs. This can be caused by a variety of factors, including poor posture, muscle strain, or a herniated disc.\n\nHerniated disc: A herniated disc is a condition in which the soft center of a spinal disc bulges out through a tear in the outer layer of the disc. This can cause pain in the back and legs.\n\nSciatica: Sciatica is a condition in which the sciatic nerve, which runs from the lower back down through the legs, becomes compressed or inflamed. This can cause pain in the back and legs.\n\nIt's important to see a healthcare provider if you are experiencing severe pain in your back and legs, as they can help diagnose the cause of your pain and recommend treatment options.""]",,medicine
Is there any footwear available to increase arch for prolapsed ankle?I have a prolapse right ankle after a removal of a brain tumor which was on the motor part of my brain that affected the muscle of my right leg from my knee down. Is there foot wear that would raise my arch so that my ankle would be in it proper alinement. Or doctor in Hawaii on the island of Ohau I could see.,"['Hello and welcome to ‘Ask A Doctor’ service. I have reviewed your query and here is my advice. Please contact some orthotic and prosthetic expert. He will guide you and yes there  are custom made shoes with enhances arch to raise the arch of sole of foot and there are external devices also available that fix on to your regular shoe to raise the arch. Along with this do foot and toes exercises to strengthen your foot muscles like ankle rotations (clockwise and anticlock wise ), toes clawing and it will definitely help you.Hope I have answered your query. Let me know if I can assist you further.Regards, Dr. Harsh Swarup']","[""There are several options for footwear that may help to increase the arch of your foot if you have a prolapsed ankle. Some options include:\n\nOrthotic inserts: These are inserts that can be placed inside your shoes to help support the arch of your foot. They can be custom-made to fit your foot, or you can purchase over-the-counter inserts.\n\nArch-supporting shoes: Some shoes have built-in arch support, which may help to improve the alignment of your ankle.\n\nAnkle braces: These are devices that can be worn around your ankle to help support it and improve its alignment.\n\nIt's important to talk to a healthcare professional, such as a podiatrist or orthopedist, to determine the best course of treatment for your prolapsed ankle. They can help you determine the most appropriate type of footwear and may be able to recommend a specific brand or model that would be suitable for your needs. If you're in Hawaii, you can try contacting a local podiatrist or orthopedist to see if they can help.""]",,medicine
"How can I remove dark spots due to skin cell rupture ?sir , i have some injury on my face , which causes my skin cell rupture perhaps , so dark spot come, how can i remove this????????",['hiit depend how deep the scar is?better to consult dermatologist.if not then apply HEXILAK cream over it'],"[""Dark spots on the skin can be caused by a variety of factors, including skin injuries, acne, and sun exposure. If you have dark spots on your face due to a skin injury, there are a few steps you can take to try to reduce their appearance:\n\nKeep the affected area clean: Gently wash the area with a mild soap and water to help prevent infection and promote healing.\n\nApply a natural moisturizer: Aloe vera or coconut oil can help soothe the skin and reduce redness.\n\nUse over-the-counter creams: Hydroquinone or kojic acid creams can help lighten dark spots. However, these products may not be suitable for everyone, so it's important to read the label and follow the instructions carefully.\n\nConsult a dermatologist: If the dark spots are not responding to home remedies or over-the-counter products, it may be necessary to seek the advice of a dermatologist. They can recommend more effective treatments such as chemical peels or prescription creams.\n\nIt's also important to protect your skin from further injury and sun exposure to prevent new dark spots from forming. Use a broad-spectrum sunscreen with an SPF of at least 30 and wear protective clothing when you are outside.""]",,medicine
"What is the risk involved in kidney biopsy?hi sir my mom is 53 her creatnine has increased to 2 and after few weeks of medication it got to 1.6..as there is no protein leakage , so inorder to find out he actual reason doctor asked to do kidney biopsy. what should i do? How much is the average cost for the same and is here any risk involved?","['Hi,Since you have not mentioned the place you belong to I will mention the cost in USD- 150-200.Kidney biopsy is advised when there is no other way to find out the reason for kidney disease.The procedure is quite safe in experienced hands.Sometimes minor complications like blood in the urine may occur but subsiding rapidly']","[""Kidney biopsy is a procedure in which a small sample of kidney tissue is removed and examined under a microscope. It is usually done to diagnose a kidney problem or to check the effectiveness of treatment for a kidney disorder.\n\nThere is a small risk of complications associated with kidney biopsy, including bleeding, infection, and damage to the kidney or surrounding organs. The risk of complications is generally low, and most people do not experience any problems after the procedure.\n\nThe cost of a kidney biopsy may vary depending on the location, facility, and other factors. It is important to discuss the costs and any potential risks with your healthcare provider before the procedure. Your healthcare provider will be able to provide more information about the specific risks and costs associated with a kidney biopsy in your case.\n\nIt is important to follow your healthcare provider's recommendations for treatment and follow-up care after a kidney biopsy. If you have concerns about the procedure or your healthcare, it is important to speak with your healthcare provider. They will be able to answer your questions and address any concerns you may have.""]",,medicine
How to treat back burning sensations?i have a burning sensation across from the center of my back on the right side of my back in just one spot.it feels as if someone is putting fire on it or someone scrapping it with a knife or something. it feels so miserable. what can i do to stop it or ease it?,"['Hi,Welcome to healthcare magic.After going through your query I THINK IT CAN BE muscular pain with tender spot.You can visit orthopedic surgeon for local injection of kenacort 40 mg at the point of spot to relieve it. analgesics (diclofenac) can be taken to pain releive. Sometimes  vitamin B 12 and vitamin D defeciency is the cause so get your vitamins  checked .If it is low then vitamins supplementation can be taken. I think your query answered.Welcome to any follow up query']","['Burning sensations in the back can be caused by a variety of factors, including nerve irritation, muscle strain, and skin conditions. Here are a few steps you can try to ease the burning sensation:\n\nApply cold packs or ice to the affected area. This can help reduce inflammation and numb the area, providing some relief from the burning sensation.\n\nTake over-the-counter pain medication, such as acetaminophen (Tylenol) or ibuprofen (Advil). These medications can help reduce pain and inflammation.\n\nApply heat to the affected area. This can help relax muscles and improve circulation, which may help reduce the burning sensation.\n\nAvoid activities that may have caused the muscle strain or irritation. For example, if the burning sensation is due to muscle strain, you may want to avoid lifting heavy objects or engaging in activities that require repetitive movements.\n\nStretch or massage the affected area. Gentle stretching or massaging the area may help reduce muscle tension and improve circulation, which can help reduce the burning sensation.\n\nIf the burning sensation persists or is severe, it is important to see a doctor for further evaluation and treatment. The doctor may recommend additional treatment options, such as physical therapy or prescription medications.']",,medicine
"Q. What are those tiny fluid-filled blisters on the arm?Hi doctor,I am 19 years old. I have clusters of tiny fluid-filled blisters on my right palm, arm and below the neck at backside. These are causing inflammation and painful when touched or pressed. It has rapidly increased in two days and is now spreading to other body parts. In the past, I had psoriasis and has got cured completely. Please suggest.","['Hello. I had gone through all the details posted. Kindly answer some questions. Based on your symptoms the possibilities are I would have been able to further narrow down the differential if I had seen the photos. Do not burst those blisters with anything, apply Betadine ointment (Povidone-iodine) over the burst ones and you can start tablet Clindatec 300 mg (Clindamycin) twice daily in the morning and night for seven days antibiotic to prevent infection. Kindly update me with the answers and photos. Revert back with the photos to an internal medicine physician online --> https://www.icliniq.com/ask-a-doctor-online/internal-medicine-physician']","['gleixia@163.com\nQ. What are those tiny fluid-filled blisters on the arm?Hi doctor,I am 19 years old. I have clusters of tiny fluid-filled blisters on my right palm, arm and below the neck at backside. These are causing inflammation and painful when touched or pressed. It has rapidly increased in two days and is now spreading to other body parts. In the past, I had psoriasis and has got cured completely. Please suggest.\nIt is difficult to accurately diagnose a skin condition without seeing it in person or obtaining more information about the symptoms you are experiencing. However, based on the description you provided, it is possible that you may be experiencing a condition called herpes simplex virus (HSV). HSV is a viral infection that can cause small, fluid-filled blisters on the skin, often in clusters. These blisters may be painful and may be accompanied by other symptoms such as fever, muscle aches, and swollen lymph nodes.\n\nIf you are experiencing these symptoms, it is important to see a healthcare provider for proper diagnosis and treatment. In the meantime, you can try to relieve your symptoms by taking over-the-counter pain medication and keeping the affected area clean and dry. Avoid touching or scratching the blisters to prevent them from spreading.\n\nIt is also possible that the symptoms you are experiencing could be caused by another skin condition, such as impetigo or folliculitis. Again, it is important to see a healthcare provider for a proper diagnosis and treatment plan.']",,medicine
