question,index,source,writer,answer
"What could be the 3 mm size spot around urethra of penis?Hello, i got a spot of maybe 3mm in size around urethra of my penis. I got tested for std and for used anti fungal Cream but it Seems to be something else. My std test was negatieve and The fungel Cream doesn't work.I dont have symtoms only i see The spot and it looks a bit dryed what can it be?",,medicine,gemini,"This can be caused by fungal infections, contact dermatitis from soaps, or sexually transmitted infections. Consider consulting a healthcare professional."
Why does Yahoo Finance and Google Finance not match historical prices?,,finance,gemini,"It could be a pulled muscle, pleurisy from your cold, or a gallbladder issue. Consider consulting a healthcare professional."
"Is it bad for me to pop a abscessed tooth myself?Is it bad for me to pop a absessed tooth myself. I have to go to work in a hr.it feels so big and hard like I could just pop it but its next to a rotted out wisdom tooth that almost to me looks like a dry socket and the two teeth in front of it are the same and lower jaw. And also starting to feel sick to my stomach, what do I do??",,medicine,human,"['hello thanks for the consult at hcm..plz dont meddle with ur teeth,,take a course of antibiotics and analgesics,, do iopar and consult a dentist to remove ur infected teeth..do salt water garlge thrice daily,,, hope it helps,,tc']"
"What causes dizziness, blurred vision and difficulty in balance?I am having wierd moments where I get dizzy, blurred vision, and off balance. This only lasts like 10 seconds. After it is done, I feel as if I have forgotten everything and where I am. It is a little wierd about what happens afterward. What is this, and what might be the cause of this.",,medicine,human,['Thanks for your question dear firstplease tell me what your age from when you are experiencing\u200b this and  are taking any drug  causes must be ruled out one is syncope and other is postural hypotention  at what time you develope this while sitting or standing thanks']
How does a Value Added Tax (VAT) differ from a Sales Tax?,,finance,gemini,"It's generally fine, but beware of overlapping holdings leading to unintended concentration in specific sectors, and watch out for stacked expense ratios."
Should I take contributions out of my Roth IRA to live off of?,,finance,human,"[""That's up to you, but I wouldn't play around with my retirement money if I was in your situation. Your earning potential during your retirement years will likely be at its nadir. Do you really want to risk being forced to be a Wal-Mart greeter when you are 80? Also, considering your earning potential now is probably at or near the peak, your opportunity cost for each hour of your life is much higher now than it will be later. So ultimately you'd be working a little harder now or a lot harder later for less money.""]"
How to pay bills for one month while waiting for new job?,,finance,gemini,"Left-sided chest pain can result from muscle strain, gastrointestinal issues, or severe cardiac conditions. Consider consulting a healthcare professional immediately."
How does a Value Added Tax (VAT) differ from a Sales Tax?,,finance,human,"[""Sales taxes are charged at the point of purchase, while a VAT is assessed during the production process of the item. In the end, the amount paid by the consumer is the same, but with the VAT, the tax was collected from the manufacturer, instead of the consumer. One of the big arguments for VAT is that it prevents lost revenue due to things like smuggling (if sales tax increases past 10% smuggling spikes, so the VAT is a good mechanism if you're looking to implement large taxes on goods). It also keeps the tax burden away from shippers and other tiers of the production process that don't change the intrinsic value of the item.""]"
"What does a bump on the inner lower lip indicate?Hi, I have a small spot on my bottom lip just right of the middle. If I run my tongue over it, it seems indented and tastes like blood on contact. There no pain and as far as I know, no trauma took place. It's a fairly small lesion with 3 tiny red specs forming almost a triangle around it. I get canker sores and this is far different. Any ideas?",,medicine,human,"['Hello,A small bump on the inside of lower lip can be due to a mucous cyst or Mucocele formation. It can also be an overgrown sebaceous gland. Other cause can be cold sores caused by the herpes simplex virus.So, first of all, you should consult an oral physician and get evaluated, and a clinical examination can be done along with oral swab culture can be done for confirmation of the cause. For now, do warm saline gargles and also do cool compresses over the sores. Avoid spicy and irritant foods.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Honey Arora']"
"Is numbness in the left leg an early sign of heart disease?Hi. At times I feel a strange sensation, like a numbing vibration that goes down my left leg. Sometimes these are constant and lasts a while and other times I feel this only a few times and always when relaxing. Since it is on my left side I m worried it may have something to do with my heart. Have you heard of this before? It is not painful, just very strange.",,medicine,gemini,"If you buy stocks on margin or trade CFDs, brokers charge an overnight financing fee (interest) for the borrowed funds holding the position."
What are the tax liabilities for an Indian citizen working in the US?,,finance,gemini,"This is usually a swollen lymph node caused by an infection, blocked sweat gland, or cyst, though rarely it can be more serious. Consider consulting a healthcare professional."
What expenses do most people not prepare for that turn into “emergencies” but are not covered by an Emergency Fund?,,finance,human,"['The most obvious one these days is unexpected and extended unemployment. If you are living paycheck to paycheck, you are asking for trouble in this economy.']"
Owned house for less than 2 years - 1031 exchange?,,finance,chatgpt,"[""A 1031 exchange, also known as a like-kind exchange or a Starker exchange, is a tax-deferred exchange of investment or business-use property. The main purpose of a 1031 exchange is to allow individuals and businesses to defer paying capital gains tax on the sale of property by reinvesting the proceeds into a similar property.To qualify for a 1031 exchange, the property being sold must be used for business or investment purposes, and the property being purchased must also be used for business or investment purposes. Additionally, the property being sold and the property being purchased must both be held for productive use in a trade or business or for investment.In general, a property must be held for at least two years to qualify for a 1031 exchange. If you have owned your house for less than two years, it is not likely to qualify for a 1031 exchange.It's important to note that there are specific rules and requirements that must be followed in order to complete a 1031 exchange, and it's recommended to seek the advice of a tax professional or attorney if you are considering this option.""]"
Is the Canadian Securities Course (CSC) enough to get started in the finance industry in Canada?,,finance,gemini,Tracking ovulation and using prescribed fertility medications like clomiphene can help induce ovulation. Consider consulting a healthcare professional.
Working out if I should be registered as self-employed in the UK,,finance,chatgpt,"['In the UK, you are generally considered self-employed if you run your own business and are responsible for its success or failure. This means that you are not an employee of a company and do not receive a regular salary or wages, but rather earn an income from selling goods or services.To determine whether you should be registered as self-employed in the UK, you should consider the following factors:Do you work for yourself? This means that you are not under the direction or control of someone else and are responsible for your own business decisions.Do you have multiple clients or customers? This is often a sign that you are self-employed, as opposed to working for a single employer.Do you use your own equipment or resources to carry out your work? This could include things like a car or tools that you use in your business.Do you have the freedom to choose when and where you work? If you are self-employed, you generally have more control over your schedule and work environment.If you meet these criteria, it is likely that you should be registered as self-employed in the UK. You will need to register with HM Revenue and Customs (HMRC) and pay tax and National Insurance on your self-employed income. You may also be required to register for VAT if your business has an annual turnover of more than £85,000.It is important to note that the definition of self-employment can vary depending on the specific circumstances of your work. If you are unsure whether you should be registered as self-employed, you should seek advice from HMRC or a qualified tax professional.']"
What are the tax liabilities for an Indian citizen working in the US?,,finance,chatgpt,"['As an Indian citizen working in the United States, you may be subject to tax in both countries on your worldwide income. The United States has a tax treaty with India that may affect how you are taxed in each country.In general, if you are a resident of India for tax purposes, you will be subject to Indian tax on your worldwide income. If you are a resident of the United States for tax purposes, you will be subject to US tax on your worldwide income. However, the tax treaty between the United States and India may provide some relief from double taxation.Under the tax treaty, if you are a resident of India and you are present in the United States for 183 days or more in a calendar year, you will be considered a resident of the United States for tax purposes. In this case, you will be subject to US tax on your worldwide income, but you may be able to claim a credit for any Indian tax paid on the same income.If you are a resident of India and you are present in the United States for less than 183 days in a calendar year, you will generally be considered a nonresident alien for US tax purposes. In this case, you will only be subject to US tax on certain types of US-source income, such as income from wages, salaries, and other personal services performed in the United States. You may also be subject to US tax on certain types of passive income, such as dividends, interest, and rents.It is important to note that the rules for determining tax residency can be complex and depend on your specific circumstances. You should consult with a tax professional or refer to the Internal Revenue Service (IRS) and the Indian tax authorities for more information on your tax obligations as an Indian citizen working in the United States.']"
What causes back pain while walking?Hi Doc i am an 45 years femail I got 5 sizarien saction one opration of utrus remove and an year ago kidney cancer ti stage surgry After a long gap i start walk because hot so much pain in lower back i am 90 kg Now i walk and exercise yoga I start to feel after walk weakness in legs and lower back pain Please let me know wat it could be Thank you,,medicine,human,['Dear patient you have got multiple surgeries for cesarean section and for kidney cancer with prolonged bed rest which puts you at high risk of developing osteoporosis. Also multiple surgeries will drain you of your blood hemoglobin and leads to anemia and weakness.']
What low-fee & liquid exchange-traded index funds / ETFs should I consider holding in a retirement portfolio?,,finance,chatgpt,"[""Exchange-traded index funds, also known as ETFs, can be a good option for retirement portfolios because they offer diversification, low costs, and liquidity. Some low-fee and liquid ETFs that you might consider for a retirement portfolio include:Vanguard S&P 500 ETF (VOO): This ETF tracks the S&P 500 index, which is a broad-based index that represents the performance of the largest 500 publicly traded companies in the U.S. It is a low-cost ETF with an expense ratio of just 0.03%.iShares Core S&P Total U.S. Stock Market ETF (ITOT): This ETF tracks the performance of the entire U.S. stock market, including small, mid, and large-cap stocks. It has an expense ratio of 0.03%.Vanguard Total Bond Market ETF (BND): This ETF tracks the performance of the U.S. investment-grade bond market, providing exposure to a wide range of fixed-income securities. It has an expense ratio of 0.05%.Vanguard Real Estate ETF (VGSLX): This ETF tracks the performance of the MSCI US Investable Market Real Estate 25/50 index, which includes real estate investment trusts (REITs) and other real estate-related companies. It has an expense ratio of 0.12%.iShares MSCI Emerging Markets ETF (EEM): This ETF tracks the performance of emerging market equities and has an expense ratio of 0.69%.It's important to note that these ETFs may not be suitable for all investors and that it's always a good idea to consult with a financial advisor before making any investment decisions.""]"
"If a startup can always issue new shares, what value is there to stocks/options?",,finance,human,"['It\'s called ""dilution"". Usually it is done to attract more investors, and yes - the existing share holders will get diluted and their share of ownership shrinks. As a shareholder you can affect the board decisions (depends on your stake of ownership), but usually you\'ll want to attract more investors to keep the company running, so not much you can do to avoid it. The initial investors/employees in a startup company are almost always diluted out. Look at what happened to Steve Jobs at Apple, as an example.']"
"Are you allowed to have both a 401(k) and a SIMPLE IRA? If so, what about limits?",,finance,gemini,"Acupressure is not a proven treatment for hydrocele; it typically requires monitoring, fluid drainage, or surgery. Consider consulting a healthcare professional."
Advice for college student: Should I hire a financial adviser or just invest in index funds?,,finance,chatgpt,"['As a college student, it can be helpful to have a financial adviser to help you make informed decisions about your money and plan for the future. A financial adviser can help you create a budget, set financial goals, and make a plan to achieve them. They can also help you understand investment options and make recommendations based on your specific financial situation and goals.However, hiring a financial adviser can also be expensive, and it may not be necessary for everyone. If you are comfortable doing your own research and making your own investment decisions, you may be able to save money by investing in index funds on your own. Index funds are a type of mutual fund that tracks a specific market index, such as the S&P 500. They offer a simple and low-cost way to invest in a broad range of stocks or other assets.Ultimately, the decision of whether to hire a financial adviser or invest in index funds will depend on your individual financial situation, goals, and comfort level with managing your own investments. It may be helpful to consider your budget and the amount of time and effort you are willing to put into managing your investments. You may also want to consider seeking guidance from a financial planner or other financial professional to help you make the best decision for your situation.', ""There are pros and cons to both hiring a financial adviser and investing in index funds. Here are a few things to consider when deciding which option is best for you:Cost: Hiring a financial adviser can be expensive, as you'll likely have to pay for their services on an ongoing basis. In contrast, index funds typically have low fees, which can make them a more cost-effective option.Expertise: A financial adviser can provide personalized advice and help you create a customized investment plan that takes into account your unique financial situation and goals. If you don't feel confident in your ability to make investment decisions on your own, hiring an adviser may be a good idea.Ease of use: Index funds are generally easy to buy and hold, and they offer a simple way to diversify your portfolio. If you're looking for a hands-off investment strategy, index funds may be the way to go.Ultimately, the decision to hire a financial adviser or invest in index funds will depend on your individual circumstances and financial goals. It may be helpful to do some research and consider consulting with a financial professional to help you make an informed decision.""]"
Fair Value of a monthly payment given two Bank Payment structures,,finance,human,"[""There is one basic principle to apply here:  to compare money paid at different times, all the amounts must be compounded or discounted to the same point in time. In this case, the moment of the initial  $225,000 loan is convenient. At that moment, you get $225,000 You then make 30 payments on the 40% mortgage.  The amount of these payments has to be calculated;  they're paying off a $90,000 mortgage with 30 monthly payments at a monthly rate of 0.5% Finally, you make 30 payments of an amount X, starting one month after the 40% mortgage ends. So far we've just listed the amount and time of all the payments back and forth. A time-line type diagram is a huge help here. Finally, use compound interest and annuity formulas to bring all the payments to the starting point, using an interest rate of 1% a month! Equate money in with money out and solve for X""]"
Difference between GOOGL and GOOG,,finance,human,"['Note that these used to be a single ""common"" share that has ""split"" (actually a ""special dividend"" but effectively a split). If you owned one share of Google before the split, you had one share giving you X worth of equity in the company and 1 vote. After the split you have two shares giving you the same X worth of equity and 1 vote. In other words, zero change. Buy or sell either depending on how much you value the vote and how much you think others will pay (or not) for that vote in the future.  As Google issues new shares, it\'ll likely issue more of the new non-voting shares meaning dilution of equity but not dilution of voting power. For most of us, our few votes count for nothing so evaluate this as you will.  Google\'s founders believe they can do a better job running the company long-term when there are fewer pressures from outside holders who may have only short-term interests in mind. If you disagree, or if you are only interested in the short-term, you probably shouldn\'t be an owner of Google. As always, evaluate the facts for yourself, your situation, and your beliefs.']"
Do investors go long option contracts when they cannot cover the exercise of the options?,,finance,human,"[""I do this often and have never had a problem.  My broker is TD Ameritrade and they sent several emails (and even called and left a message) the week of expiry to remind me I had in the money options that would be expiring soon. Their policy is to automatically exercise all options that are at least $.01 in the money.  One email was vaguely worded, but it implied that they could liquidate other positions to raise money to exercise the options.  I would have called to clarify but I had no intention of exercising and knew I would sell them before expiry. In general though, much like with margin calls, you should avoid being in the position where the broker needs to (or can do) anything with your account. As a quick aside:  I can't think of a scenario where you wouldn't be able to sell your options, but you probably are aware of the huge spreads that exist for many illiquid options.  You'll be able to sell them, but if you're desperate, you may have to sell at the bid price, which can be significantly (25%?) lower than the ask.  I've found this to be common for options of even very liquid underlyings.  So personally, I find myself adjusting my limit price quite often near expiry.  If the quote is, say, 3.00-3.60, I'll try to sell with a limit of 3.40, and hope someone takes my offer.  If the price is not moving up and nobody is biting, move down to 3.30, 3.20, etc. In general you should definitely talk to your broker, like others have suggested.  You may be able to request that they sell the options and not attempt to exercise them at the expense of other positions you have.""]"
Different ways of looking at P/E Ratio vs EPS,,finance,gemini,"Standard is 2-4%; anything above 5% is good. If an employer breaks a promise, it's a red flag to start exploring other opportunities."
Can i get pregnant with 'LH-5.80 and FSH-5.20'?i am 27yrs lady trying for baby for 7 months with no success. I have asked by my doctor to take the hormone test. My periods are regular.I have taken the hormone test at 2nd day of my periods.LH = 5.80mIu/mlFSH = 5.20 mIu/mlProlactne = 6.98 ng/mlIs my hormone levels are normal? My doctor said there is no dependence between LH and FSH.But i heard LH should be less than FSH. Please help,,medicine,chatgpt,"[""It is normal for the levels of luteinizing hormone (LH) and follicle-stimulating hormone (FSH) to vary throughout the menstrual cycle. In general, LH levels are higher during the middle of the cycle, around the time of ovulation, while FSH levels are higher at the beginning of the cycle.\n\nThe levels of LH and FSH that you have provided do not seem to be outside of the normal range. However, it is important to keep in mind that hormone levels can be affected by various factors, such as age, weight, and overall health.\n\nIt is also important to note that fertility is not solely determined by hormone levels. There are many other factors that can affect fertility, including a person's overall health, lifestyle, and any underlying medical conditions.\n\nIt is best to discuss your specific situation and concerns with a healthcare provider. They can help you understand your hormone levels and determine the best course of action for you and your fertility goals.""]"
Working out if I should be registered as self-employed in the UK,,finance,gemini,"P2P lending connects individual borrowers with individual investors online, bypassing traditional banks, allowing investors to earn interest while assuming default risk."
Would it make sense to take a loan from a relative to pay off student loans?,,finance,gemini,"Inflation is the general rise in prices reducing money's purchasing power, often driven by increased money supply, credit expansion, or supply shortages."
"A debt collector will not allow me to pay a debt, what steps should I take?",,finance,human,"['Send a well-documented payment to the original creditor.  Do it in such a way that you would have the ability to prove that you sent a payment if they reject it.  Should they reject it, demonstrate that to the credit reporting bureaus.']"
Suggest remedy to overcome anxiety and mental imbalancehi i am sameerI am suffering with mental imbalance and what is happening in my whole body i dont knowmyself and i am also suffering from digestive problems .Sometime I feel that I have fever but it is never there.My exitement level has been finished up and I am suffering from extreme anxiety.All diagnosis are coming to be normal. I feel like just to die.What shall I do now?,,medicine,gemini,Buying with zero down (via VA or USDA loans) means higher monthly payments and no equity buffer; renting might be safer until you save a deposit.
Is having cysts in both lobes of liver a serious condition?a ct scam reveals i have a5.3x3.6cm bilobed cystic abnormality in the subdiaphragmatic segment vlll of the right lobe of liver. multiple tiny 2-3 mm cysts are also seen scattered in both lobes of liver .Is this a serious condition? and what causes this?,,medicine,gemini,"Your options may vest, be forfeited, or be cashed out, depending on your plan's terms and the acquisition agreement. Consider consulting a financial professional."
What is the Average Yield on High-Grade Corporate Bonds as of Now?,,finance,human,['Yahoo! Finance would list it as 3.30 for the 20 year corporate AAA bonds. This is using the criteria from the Wikipedia link you stated in the initial question.']
Can an acid reflux event cause a rapid heart rate?Can an acid reflux event cause a rapid heart rate? My resting rate is in the high 50's. Recently I had acid reflux in the night and felt the rate was high. It wasn't until after exercise that I realized it was around 155 and apparently had been at that rate for about 7 hours,,medicine,human,"['Hello,Acid reflux or exercise can increase increase heart rate slightly, but 155 persisting for 7 hours is less likely. This can be a cardiac arrhythmia like psvt or atrial fibrillation, in which heart rate suddenly goes up. Blood pressure may fall during these episodes and one has dizziness, fainting, blackouts, sometimes syncope. Usually ecg is normal as it is usually done in between the episodes. ECG done during episodes will show abnormality. You will need 24 hour holter monitoring or get ecg done during high heart rate. Also, hemoglobin and thyroid test should be done. ln order to abort such episodes you should try to cough hard. Is there any stress or anxiety associated.    Till the time your evaluation is complete, you can ask your local doctor for tab ciplar LA 20 mg once a day.     If none of the above is successful then last option is of electrophysiological studies which is invasive test which can diagnose and treat the arrhythmia permanently in most of the cases. Hope this helps you and get back if you have any doubts.']"
How to start investing/thinking about money as a young person?,,finance,human,"['I think ""Rich Dad Poor Dad"" is a good read for understanding the basics of personal finance in a non-technical format before actually starting investing.']"
Car value is almost equal to GMFV with still 2 years to go on PCP,,finance,chatgpt,"['If the value of a car is almost equal to the Guaranteed Minimum Future Value (GMFV) with two years remaining on a Personal Contract Purchase (PCP) agreement, it means that the car\'s value has not depreciated significantly over the course of the agreement. This could be due to a number of factors, such as the car being well-maintained, in high demand, or having a strong reputation for reliability.In a PCP agreement, the GMFV is a predetermined value that the car is expected to have at the end of the agreement. This value is used to determine the monthly payments for the agreement, and it is typically lower than the car\'s original purchase price. If the value of the car at the end of the agreement is equal to or greater than the GMFV, the borrower has the option to either pay the remaining balance to purchase the car outright or return the car to the lender.If the value of the car is significantly lower than the GMFV, the borrower may have to pay a ""deficiency balance"" to make up the difference between the GMFV and the car\'s actual value. This could be a financial burden, so it\'s important to carefully consider the terms of a PCP agreement before entering into one.']"
What to think of two at the money call options with different strike prices and premiums?,,finance,gemini,Endowed scholarships are funded in perpetuity by investing the principal and only spending the generated interest or returns each year.
Precious metal trading a couple questions,,finance,chatgpt,"[""Sure, I'd be happy to help with any questions you have about precious metal trading. What would you like to know?""]"
Is this understanding of S-corp taxes correct?,,finance,human,"[""I think you're misunderstanding how S-Corp works. Here are some pointers: I suggest you talk with a EA/CPA licensed in your state and get yourself educated on what you're getting yourself into.""]"
What is the treatment for alopecia areata?I'm suffering from the disease alopeciaAnd all my body hair fell from about 5 yearsCorticosteroids have been used for several sessions and suspended himI am 25 years oldAnd 160 linearWeight 52I hope to visit any specialist in any place in India for treatmentI am from Saudi Arabia,,medicine,human,"['hi, welcome to HCM,you are suffering from alopecia universalis.as a treating dermatologist i used steroid mini pulse. potent steroid (Halobetasol lotion) for topical application. minoxidil 5% once daily for local application. tab biotin 10mg + PABA + ca pantothenate once daily.most importantly i rely on intra lesional injection of triamcenolone acetonide in sessions.this gives very good result.thanks.']"
"Abdominal pain, prescribed silbostin and BP tablet. Had pain before and diagnosed fatty lever stage-I and curedSir, i feel my upper aqbdoman pain and go to cunsult with doctor doctor advise me to full abdoman ultrasound and fount fatty lever stage -I and after 6 month medicin i got releaf. and now after feeling realif 4 months feeling pain. again i cunsult with doctor he is giving me silbostin tablet. and my BP is also 96 134 he also giving me BP medicin. kindly guide me.",,medicine,human,['it look to me food proteins reacting with body proteins sometime body protein start reacting with food proteins suddenly to cause these and they can effect other organ alsoget blood serum tests for specific antibodies for milk wheat and other major food you take daily after consultation with allergy doctorwithdraw those proteins you will be benefitted']
"What causes itchy rashes on body?We just noticed my 10 year old son has a rash on his shoulders, elbows, wrists, knees and ankles, as well as under his chin and a few spots under his eyes. None on his chest or back, none in his mouth, no fever, not other symptoms except being itchy in those spots. The only other symptom is the past few mornings he has complained about the bottom of his feet hurting. Any ideas?",,medicine,human,"['Hi.As per your case history your son is having allergic dermatitis.My treatment advice is – 1. Avoid using any new products like soap or perfume.2. Apply a mild antibiotic plus steroid cream like fusiderm-B cream twice daily on it.3. Take an antihistamine like levocetirizine for 7-10days .4. Other treatment options are oral steroid and hydroxyzine given only after consulting a dermatologist.Thanks.Dr.Harshit Bhachech.MBBS, DDVL.']"
